id_reporte,fecha_reporte,año,entidad_federativa,alcaldia_municipio,tipo_reporte,tipo_animal,genero_animal,genero_reportante,edad_reportante_rango,instancia_atiende,estatus_atencion,medio_denuncia
MX-MA-00031,23/05/2023,2023,Ciudad de México,Álvaro Obregón,Falta de alimento,Perro,Macho,Mujer,41-50,PAOT,Concluido sin infracción,Chat
MX-MA-00032,04/01/2021,2021,Ciudad de México,Iztapalapa,Falta de alimento,Perro,Macho,Mujer,31-40,Consejo Ciudadano,Con sanción,Teléfono
MX-MA-00033,23/03/2019,2019,Guanajuato,Municipio 12,Agresión física,Perro,Hembra,Mujer,51-60,Brigada de Vigilancia Animal,Animal resguardado,Redes sociales
MX-MA-00034,24/12/2025,2025,Querétaro,Municipio 12,Hacinamiento,Perro,Macho,Mujer,21-30,Consejo Ciudadano,Recibido,Chat
MX-MA-00035,05/08/2025,2025,Ciudad de México,Iztacalco,Criadero clandestino,Perro,Macho,Mujer,41-50,Brigada de Vigilancia Animal,Canalizado,Presencial
MX-MA-00036,23/06/2024,2024,Querétaro,Municipio 10,Maltrato en azotea,Perro,Macho,Mujer,21-30,Consejo Ciudadano,Canalizado,Chat
MX-MA-00037,23/05/2021,2021,Ciudad de México,Álvaro Obregón,Peleas clandestinas,Perro,Macho,Mujer,41-50,PAOT,En investigación,Teléfono
MX-MA-00038,20/03/2020,2020,Ciudad de México,Cuauhtémoc,Animal amarrado,Perro,No especificado,Mujer,51-60,Consejo Ciudadano,Recibido,Presencial
MX-MA-00039,20/04/2024,2024,Ciudad de México,Álvaro Obregón,Abandono,Perro,Macho,Mujer,21-30,Consejo Ciudadano,Canalizado,Chat
MX-MA-00040,22/06/2022,2022,Ciudad de México,Benito Juárez,Animal amarrado,Perro,Hembra,Mujer,51-60,PAOT,Canalizado,Teléfono
MX-MA-00041,22/02/2021,2021,Estado de México,Municipio 14,Agresión física,Perro,Macho,Mujer,41-50,PAOT,Recibido,Chat
MX-MA-00042,17/02/2023,2023,Baja California,Municipio 13,Falta de alimento,Perro,No especificado,Mujer,21-30,PAOT,Concluido sin infracción,Teléfono
MX-MA-00043,14/07/2019,2019,Ciudad de México,Coyoacán,Hacinamiento,Perro,Macho,Mujer,31-40,Instituto de Bienestar Animal Estatal,Concluido sin infracción,Presencial
MX-MA-00044,19/02/2025,2025,Ciudad de México,Tlalpan,Otro,Perro,Macho,Mujer,21-30,PAOT,Con sanción,Chat
MX-MA-00045,03/07/2021,2021,Ciudad de México,Venustiano Carranza,Agresión física,Fauna silvestre,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,Animal resguardado,Redes sociales
MX-MA-00046,25/06/2024,2024,Ciudad de México,Cuauhtémoc,Falta de alimento,Perro,Hembra,Hombre,51-60,PAOT,Canalizado,Teléfono
MX-MA-00047,06/11/2021,2021,Ciudad de México,Coyoacán,Peleas clandestinas,Perro,Macho,Mujer,21-30,Brigada de Vigilancia Animal,Animal resguardado,Teléfono
MX-MA-00048,16/05/2023,2023,Guanajuato,Municipio 1,Agresión física,Perro,Macho,Mujer,31-40,PROFEPA,Con sanción,Correo electrónico
MX-MA-00049,23/01/2023,2023,Guanajuato,Municipio 2,Criadero clandestino,Perro,Macho,Mujer,51-60,Instituto de Bienestar Animal Estatal,En investigación,Presencial
MX-MA-00050,24/08/2021,2021,Ciudad de México,Iztapalapa,Maltrato en azotea,Perro,Macho,Hombre,60+,Brigada de Vigilancia Animal,En investigación,Teléfono
MX-MA-00051,02/10/2025,2025,Ciudad de México,Benito Juárez,Otro,Conejo,Macho,Hombre,31-40,Consejo Ciudadano,Canalizado,Teléfono
MX-MA-00052,04/03/2024,2024,Ciudad de México,Álvaro Obregón,Abandono,Perro,Hembra,Mujer,60+,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00053,13/07/2025,2025,Ciudad de México,Benito Juárez,Falta de atención veterinaria,Perro,Macho,Mujer,41-50,PAOT,Canalizado,Redes sociales
MX-MA-00054,10/02/2025,2025,Ciudad de México,Iztapalapa,Abandono,Gato,Macho,Hombre,31-40,PAOT,Canalizado,Redes sociales
MX-MA-00055,10/10/2023,2023,Querétaro,Municipio 9,Falta de atención veterinaria,Perro,Hembra,Mujer,51-60,PROFEPA,Concluido sin infracción,Redes sociales
MX-MA-00056,31/05/2025,2025,Ciudad de México,Coyoacán,Abandono,Perro,No especificado,Mujer,31-40,Instituto de Bienestar Animal Estatal,Canalizado,Chat
MX-MA-00057,17/11/2020,2020,Ciudad de México,Iztapalapa,Agresión física,Perro,Hembra,Mujer,31-40,Fiscalía General de Justicia,Recibido,Presencial
MX-MA-00058,13/11/2021,2021,Ciudad de México,Iztacalco,Hacinamiento,Perro,Macho,Mujer,31-40,PAOT,Con sanción,Chat
MX-MA-00059,05/07/2019,2019,Guanajuato,Municipio 15,Hacinamiento,Perro,Macho,Hombre,51-60,PAOT,En investigación,Teléfono
MX-MA-00060,23/10/2021,2021,Ciudad de México,Álvaro Obregón,Peleas clandestinas,Gato,No especificado,No especificado,51-60,PAOT,Animal resguardado,Chat
MX-MA-00061,09/04/2022,2022,Ciudad de México,Benito Juárez,Maltrato en azotea,Perro,Macho,Hombre,31-40,Fiscalía General de Justicia,Recibido,Correo electrónico
MX-MA-00062,27/12/2021,2021,Guanajuato,Municipio 13,Falta de atención veterinaria,Perro,Macho,Mujer,31-40,Fiscalía General de Justicia,Animal resguardado,Redes sociales
MX-MA-00063,05/02/2024,2024,Ciudad de México,Cuauhtémoc,Falta de alimento,Perro,Hembra,Hombre,31-40,Consejo Ciudadano,Recibido,Chat
MX-MA-00064,24/01/2022,2022,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,En investigación,Chat
MX-MA-00065,05/12/2021,2021,Ciudad de México,Cuauhtémoc,Hacinamiento,Perro,Hembra,Mujer,21-30,Brigada de Vigilancia Animal,Recibido,Presencial
MX-MA-00066,27/04/2023,2023,Ciudad de México,Iztacalco,Otro,Perro,Macho,Hombre,51-60,Brigada de Vigilancia Animal,Concluido sin infracción,Chat
MX-MA-00067,29/05/2021,2021,Ciudad de México,Iztapalapa,Otro,Perro,Macho,Mujer,31-40,PAOT,Con sanción,Teléfono
MX-MA-00068,10/02/2024,2024,Estado de México,Municipio 1,Falta de alimento,Perro,No especificado,Mujer,31-40,Brigada de Vigilancia Animal,Canalizado,Correo electrónico
MX-MA-00069,30/04/2019,2019,Ciudad de México,Cuauhtémoc,Criadero clandestino,Perro,Macho,Mujer,21-30,PAOT,Animal resguardado,Presencial
MX-MA-00070,21/02/2025,2025,Ciudad de México,Álvaro Obregón,Falta de alimento,Perro,Hembra,Hombre,21-30,PAOT,Canalizado,Teléfono
MX-MA-00071,13/07/2024,2024,Ciudad de México,Cuauhtémoc,Animal amarrado,Perro,Hembra,Mujer,60+,Fiscalía General de Justicia,Concluido sin infracción,Chat
MX-MA-00072,23/05/2021,2021,Ciudad de México,Gustavo A. Madero,Hacinamiento,Perro,Hembra,Mujer,21-30,Consejo Ciudadano,Con sanción,Chat
MX-MA-00073,21/08/2019,2019,Ciudad de México,Tlalpan,Agresión física,Perro,Macho,Mujer,21-30,Brigada de Vigilancia Animal,En investigación,Teléfono
MX-MA-00074,21/11/2024,2024,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,Macho,Hombre,31-40,Brigada de Vigilancia Animal,En investigación,Correo electrónico
MX-MA-00075,05/07/2024,2024,Ciudad de México,Gustavo A. Madero,Falta de alimento,Perro,Hembra,Hombre,21-30,Brigada de Vigilancia Animal,Animal resguardado,Chat
MX-MA-00076,24/03/2024,2024,Querétaro,Municipio 6,Agresión física,Perro,Hembra,Mujer,18-20,Consejo Ciudadano,Animal resguardado,Presencial
MX-MA-00077,08/07/2024,2024,Ciudad de México,Azcapotzalco,Hacinamiento,Perro,No especificado,Mujer,31-40,Consejo Ciudadano,Animal resguardado,Teléfono
MX-MA-00078,01/07/2019,2019,Ciudad de México,Álvaro Obregón,Maltrato en azotea,Perro,Macho,Mujer,41-50,Consejo Ciudadano,Animal resguardado,Chat
MX-MA-00079,18/04/2022,2022,Ciudad de México,Gustavo A. Madero,Otro,Perro,Macho,Hombre,41-50,Consejo Ciudadano,Recibido,Teléfono
MX-MA-00080,10/12/2021,2021,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,No especificado,Mujer,31-40,PAOT,Con sanción,Redes sociales
MX-MA-00081,17/05/2025,2025,Ciudad de México,Venustiano Carranza,Falta de atención veterinaria,Perro,Hembra,Hombre,31-40,PAOT,Canalizado,Chat
MX-MA-00082,26/12/2023,2023,Ciudad de México,Iztacalco,Animal amarrado,Perro,Hembra,Mujer,60+,Brigada de Vigilancia Animal,Animal resguardado,Chat
MX-MA-00083,16/12/2021,2021,Ciudad de México,Cuauhtémoc,Falta de alimento,Perro,Macho,Hombre,31-40,PAOT,Canalizado,Teléfono
MX-MA-00084,28/11/2019,2019,Ciudad de México,Cuauhtémoc,Falta de alimento,Perro,Hembra,Hombre,21-30,Consejo Ciudadano,Canalizado,Teléfono
MX-MA-00085,06/02/2021,2021,Ciudad de México,Azcapotzalco,Hacinamiento,Otro,Hembra,Mujer,21-30,PAOT,Canalizado,Teléfono
MX-MA-00086,08/11/2021,2021,Ciudad de México,Coyoacán,Falta de atención veterinaria,Perro,Hembra,Hombre,31-40,PAOT,En investigación,Teléfono
MX-MA-00087,21/11/2024,2024,Estado de México,Municipio 11,Abandono,Perro,Macho,Mujer,51-60,Brigada de Vigilancia Animal,Recibido,Chat
MX-MA-00088,29/03/2023,2023,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,Macho,Mujer,21-30,Instituto de Bienestar Animal Estatal,Con sanción,Chat
MX-MA-00089,01/10/2025,2025,Ciudad de México,Cuauhtémoc,Hacinamiento,Perro,Hembra,Mujer,41-50,PAOT,Con sanción,Chat
MX-MA-00090,06/05/2022,2022,Ciudad de México,Tlalpan,Falta de alimento,Perro,Macho,Hombre,18-20,PROFEPA,Recibido,Chat
MX-MA-00091,25/03/2021,2021,Ciudad de México,Álvaro Obregón,Agresión física,Perro,Hembra,Mujer,31-40,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00092,24/08/2024,2024,Ciudad de México,Iztacalco,Criadero clandestino,Otro,No especificado,Mujer,51-60,PAOT,Concluido sin infracción,Teléfono
MX-MA-00093,13/07/2024,2024,Ciudad de México,Benito Juárez,Maltrato en azotea,Perro,Macho,Mujer,31-40,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00094,19/05/2023,2023,Ciudad de México,Álvaro Obregón,Otro,Perro,Hembra,Mujer,41-50,Consejo Ciudadano,En investigación,Presencial
MX-MA-00095,23/11/2024,2024,Puebla,Municipio 14,Falta de alimento,Perro,Macho,Mujer,21-30,Brigada de Vigilancia Animal,Con sanción,Chat
MX-MA-00096,19/12/2023,2023,Ciudad de México,Cuauhtémoc,Otro,Perro,Hembra,Mujer,51-60,Fiscalía General de Justicia,Concluido sin infracción,Teléfono
MX-MA-00097,13/10/2023,2023,Ciudad de México,Azcapotzalco,Agresión física,Perro,No especificado,Hombre,18-20,PAOT,Canalizado,Teléfono
MX-MA-00098,23/04/2022,2022,Ciudad de México,Venustiano Carranza,Falta de alimento,Perro,Macho,Mujer,51-60,PAOT,Concluido sin infracción,Presencial
MX-MA-00099,17/12/2019,2019,Ciudad de México,Venustiano Carranza,Otro,Perro,Macho,Mujer,21-30,Fiscalía General de Justicia,Recibido,Redes sociales
MX-MA-00100,16/06/2021,2021,Ciudad de México,Cuauhtémoc,Animal amarrado,Gato,Macho,Mujer,51-60,Brigada de Vigilancia Animal,Canalizado,Redes sociales
MX-MA-00101,29/01/2019,2019,Ciudad de México,Cuauhtémoc,Falta de atención veterinaria,Perro,Macho,Mujer,31-40,PROFEPA,En investigación,Chat
MX-MA-00102,28/04/2023,2023,Ciudad de México,Iztapalapa,Agresión física,Perro,Hembra,Hombre,41-50,Consejo Ciudadano,En investigación,Teléfono
MX-MA-00103,17/01/2021,2021,Jalisco,Municipio 12,Hacinamiento,Perro,No especificado,Hombre,21-30,PAOT,Concluido sin infracción,Correo electrónico
MX-MA-00104,11/06/2023,2023,Ciudad de México,Álvaro Obregón,Otro,Perro,Macho,Mujer,60+,Consejo Ciudadano,Animal resguardado,Redes sociales
MX-MA-00105,25/07/2025,2025,Ciudad de México,Azcapotzalco,Animal amarrado,Perro,Macho,Hombre,21-30,PAOT,Canalizado,Teléfono
MX-MA-00106,18/05/2021,2021,Ciudad de México,Álvaro Obregón,Falta de atención veterinaria,Perro,Macho,Hombre,21-30,PAOT,En investigación,Presencial
MX-MA-00107,03/02/2022,2022,Ciudad de México,Iztapalapa,Agresión física,Perro,Hembra,Hombre,31-40,PAOT,Concluido sin infracción,Redes sociales
MX-MA-00108,18/04/2024,2024,Ciudad de México,Cuauhtémoc,Falta de atención veterinaria,Perro,Macho,Mujer,18-20,Consejo Ciudadano,Con sanción,Teléfono
MX-MA-00109,18/10/2021,2021,Ciudad de México,Álvaro Obregón,Animal amarrado,Perro,Hembra,Hombre,21-30,PAOT,Concluido sin infracción,Chat
MX-MA-00110,11/06/2019,2019,Ciudad de México,Iztacalco,Agresión física,Perro,Hembra,Mujer,60+,Consejo Ciudadano,Con sanción,Teléfono
MX-MA-00111,19/04/2021,2021,Hidalgo,Municipio 15,Animal amarrado,Gato,Hembra,Mujer,60+,Fiscalía General de Justicia,Canalizado,Teléfono
MX-MA-00112,02/12/2021,2021,Ciudad de México,Álvaro Obregón,Agresión física,Perro,Macho,Mujer,31-40,Brigada de Vigilancia Animal,Con sanción,Redes sociales
MX-MA-00113,13/09/2025,2025,Guanajuato,Municipio 4,Otro,Perro,Hembra,Mujer,60+,Brigada de Vigilancia Animal,Recibido,Teléfono
MX-MA-00114,21/07/2024,2024,Ciudad de México,Álvaro Obregón,Animal amarrado,Perro,Macho,Mujer,41-50,Brigada de Vigilancia Animal,En investigación,Presencial
MX-MA-00115,26/11/2023,2023,Ciudad de México,Gustavo A. Madero,Agresión física,Perro,Macho,Mujer,21-30,PAOT,En investigación,Correo electrónico
MX-MA-00116,23/08/2025,2025,Ciudad de México,Coyoacán,Abandono,Perro,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00117,14/03/2024,2024,Ciudad de México,Cuauhtémoc,Animal amarrado,Otro,Hembra,Hombre,41-50,PROFEPA,Animal resguardado,Chat
MX-MA-00118,16/05/2021,2021,Ciudad de México,Iztacalco,Maltrato en azotea,Perro,Macho,Hombre,60+,Instituto de Bienestar Animal Estatal,Con sanción,Presencial
MX-MA-00119,13/03/2025,2025,Ciudad de México,Gustavo A. Madero,Otro,Perro,Macho,Mujer,21-30,Fiscalía General de Justicia,Recibido,Redes sociales
MX-MA-00120,07/05/2023,2023,Ciudad de México,Benito Juárez,Abandono,Perro,Macho,Hombre,41-50,Fiscalía General de Justicia,En investigación,Redes sociales
MX-MA-00121,14/10/2024,2024,Querétaro,Municipio 6,Criadero clandestino,Perro,Macho,Hombre,18-20,Fiscalía General de Justicia,En investigación,Teléfono
MX-MA-00122,03/10/2025,2025,Ciudad de México,Iztacalco,Hacinamiento,Perro,Macho,Hombre,21-30,Brigada de Vigilancia Animal,En investigación,Chat
MX-MA-00123,15/05/2021,2021,Ciudad de México,Cuauhtémoc,Agresión física,Perro,Macho,Mujer,18-20,PROFEPA,Concluido sin infracción,Chat
MX-MA-00124,27/10/2021,2021,Ciudad de México,Gustavo A. Madero,Maltrato en azotea,Conejo,Hembra,Mujer,60+,Fiscalía General de Justicia,Animal resguardado,Correo electrónico
MX-MA-00125,08/08/2021,2021,Ciudad de México,Iztacalco,Hacinamiento,Perro,Hembra,Hombre,51-60,Brigada de Vigilancia Animal,Animal resguardado,Teléfono
MX-MA-00126,26/10/2022,2022,Ciudad de México,Coyoacán,Falta de atención veterinaria,Perro,Hembra,Mujer,51-60,Instituto de Bienestar Animal Estatal,Concluido sin infracción,Presencial
MX-MA-00127,23/07/2024,2024,Ciudad de México,Iztapalapa,Otro,Perro,Hembra,Mujer,31-40,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00128,05/07/2025,2025,Ciudad de México,Venustiano Carranza,Abandono,Perro,Macho,Mujer,21-30,PROFEPA,Canalizado,Correo electrónico
MX-MA-00129,23/04/2019,2019,Ciudad de México,Benito Juárez,Otro,Perro,No especificado,Mujer,21-30,Consejo Ciudadano,En investigación,Redes sociales
MX-MA-00130,12/03/2023,2023,Guanajuato,Municipio 4,Maltrato en azotea,Perro,Hembra,Mujer,21-30,Instituto de Bienestar Animal Estatal,Canalizado,Chat
MX-MA-00131,18/09/2022,2022,Ciudad de México,Gustavo A. Madero,Abandono,Perro,Hembra,Mujer,31-40,PAOT,Canalizado,Chat
MX-MA-00132,10/09/2021,2021,Estado de México,Municipio 6,Falta de atención veterinaria,Perro,Hembra,Mujer,51-60,Consejo Ciudadano,Concluido sin infracción,Teléfono
MX-MA-00133,16/02/2021,2021,Ciudad de México,Venustiano Carranza,Animal amarrado,Perro,No especificado,Hombre,41-50,Brigada de Vigilancia Animal,En investigación,Teléfono
MX-MA-00134,25/01/2022,2022,Ciudad de México,Gustavo A. Madero,Otro,Perro,Hembra,Hombre,18-20,PAOT,En investigación,Teléfono
MX-MA-00135,26/02/2025,2025,Ciudad de México,Iztapalapa,Falta de atención veterinaria,Gato,Macho,Mujer,18-20,Consejo Ciudadano,En investigación,Teléfono
MX-MA-00136,20/03/2021,2021,Guanajuato,Municipio 1,Falta de alimento,Perro,Hembra,Hombre,21-30,PROFEPA,Animal resguardado,Teléfono
MX-MA-00137,18/11/2023,2023,Ciudad de México,Azcapotzalco,Animal amarrado,Perro,Hembra,Mujer,31-40,PROFEPA,Canalizado,Redes sociales
MX-MA-00138,22/03/2024,2024,Jalisco,Municipio 8,Falta de atención veterinaria,Perro,Hembra,Mujer,60+,PAOT,Con sanción,Chat
MX-MA-00139,15/12/2022,2022,Ciudad de México,Azcapotzalco,Falta de alimento,Otro,Hembra,Hombre,41-50,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00140,05/08/2025,2025,Ciudad de México,Cuauhtémoc,Falta de alimento,Gato,Macho,Hombre,51-60,PROFEPA,En investigación,Presencial
MX-MA-00141,02/11/2025,2025,Ciudad de México,Azcapotzalco,Abandono,Perro,Macho,Hombre,31-40,Brigada de Vigilancia Animal,Canalizado,Chat
MX-MA-00142,02/02/2021,2021,Ciudad de México,Coyoacán,Animal amarrado,Perro,No especificado,Mujer,31-40,PAOT,Con sanción,Correo electrónico
MX-MA-00143,17/07/2023,2023,Estado de México,Municipio 15,Abandono,Perro,Hembra,Hombre,21-30,Instituto de Bienestar Animal Estatal,Canalizado,Redes sociales
MX-MA-00144,15/07/2021,2021,Ciudad de México,Azcapotzalco,Agresión física,Perro,Hembra,Mujer,51-60,Brigada de Vigilancia Animal,Animal resguardado,Teléfono
MX-MA-00145,02/11/2021,2021,Hidalgo,Municipio 6,Agresión física,Perro,Macho,Mujer,51-60,Consejo Ciudadano,En investigación,Chat
MX-MA-00146,28/08/2019,2019,Ciudad de México,Tlalpan,Maltrato en azotea,Perro,Macho,Hombre,21-30,Brigada de Vigilancia Animal,Recibido,Chat
MX-MA-00147,28/09/2023,2023,Ciudad de México,Azcapotzalco,Hacinamiento,Perro,Hembra,Mujer,31-40,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00148,09/05/2023,2023,Ciudad de México,Gustavo A. Madero,Agresión física,Perro,Hembra,Mujer,31-40,Brigada de Vigilancia Animal,Con sanción,Teléfono
MX-MA-00149,11/10/2019,2019,Ciudad de México,Coyoacán,Animal amarrado,Perro,Hembra,Hombre,41-50,Brigada de Vigilancia Animal,Animal resguardado,Teléfono
MX-MA-00150,06/01/2021,2021,Querétaro,Municipio 13,Hacinamiento,Perro,Hembra,Mujer,60+,Brigada de Vigilancia Animal,Concluido sin infracción,Teléfono
MX-MA-00151,15/12/2025,2025,Ciudad de México,Álvaro Obregón,Falta de alimento,Perro,Hembra,Mujer,41-50,Brigada de Vigilancia Animal,Animal resguardado,Chat
MX-MA-00152,28/02/2021,2021,Veracruz,Municipio 11,Agresión física,Perro,Macho,Mujer,41-50,Brigada de Vigilancia Animal,Con sanción,Chat
MX-MA-00153,16/12/2021,2021,Ciudad de México,Benito Juárez,Falta de alimento,Perro,Hembra,Mujer,18-20,PAOT,Con sanción,Teléfono
MX-MA-00154,02/10/2023,2023,Ciudad de México,Cuauhtémoc,Criadero clandestino,Perro,Macho,Hombre,18-20,Brigada de Vigilancia Animal,Canalizado,Redes sociales
MX-MA-00155,17/05/2025,2025,Ciudad de México,Coyoacán,Maltrato en azotea,Perro,Macho,Mujer,21-30,PAOT,En investigación,Chat
MX-MA-00156,25/11/2021,2021,Ciudad de México,Gustavo A. Madero,Maltrato en azotea,Ave de corral,Hembra,Mujer,18-20,PAOT,Animal resguardado,Teléfono
MX-MA-00157,23/06/2024,2024,Ciudad de México,Iztapalapa,Maltrato en azotea,Perro,No especificado,Hombre,51-60,Fiscalía General de Justicia,Canalizado,Teléfono
MX-MA-00158,27/02/2024,2024,Ciudad de México,Venustiano Carranza,Falta de atención veterinaria,Perro,Macho,Mujer,41-50,PROFEPA,Canalizado,Teléfono
MX-MA-00159,31/05/2021,2021,Ciudad de México,Iztapalapa,Abandono,Perro,Hembra,Mujer,21-30,PROFEPA,Canalizado,Teléfono
MX-MA-00160,10/08/2024,2024,Ciudad de México,Iztacalco,Falta de atención veterinaria,Perro,Macho,Hombre,51-60,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00161,22/03/2022,2022,Ciudad de México,Venustiano Carranza,Falta de alimento,Perro,Macho,Mujer,21-30,Fiscalía General de Justicia,Canalizado,Teléfono
MX-MA-00162,21/08/2023,2023,Ciudad de México,Gustavo A. Madero,Falta de atención veterinaria,Perro,Macho,Mujer,21-30,PROFEPA,Recibido,Chat
MX-MA-00163,02/01/2023,2023,Estado de México,Municipio 2,Peleas clandestinas,Gato,Macho,Mujer,21-30,Consejo Ciudadano,Con sanción,Chat
MX-MA-00164,15/05/2023,2023,Ciudad de México,Iztacalco,Hacinamiento,Perro,Hembra,Hombre,31-40,Brigada de Vigilancia Animal,Canalizado,Teléfono
MX-MA-00165,13/09/2020,2020,Puebla,Municipio 3,Animal amarrado,Otro,Macho,Hombre,21-30,Instituto de Bienestar Animal Estatal,Canalizado,Teléfono
MX-MA-00166,01/04/2024,2024,Ciudad de México,Azcapotzalco,Agresión física,Perro,Hembra,Mujer,31-40,Consejo Ciudadano,Recibido,Chat
